timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:52.136	2767.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.236	2767.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.337	2767.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.437	2767.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.537	2760.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.637	2760.0	13801.0	600.08	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.737	2760.0	13801.0	600.08	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.837	2760.0	13801.0	600.08	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.938	2760.0	13801.0	600.08	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.038	2767.0	13801.0	600.08	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.138	2767.0	13801.0	600.07	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.238	2767.0	13801.0	600.07	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.338	2767.0	13801.0	600.07	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.438	2767.0	13801.0	600.07	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.539	2760.0	13801.0	600.07	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.639	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.739	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.839	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:53.939	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.039	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.140	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.240	2760.0	13801.0	599.96	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.340	2760.0	13801.0	599.96	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.440	2760.0	13801.0	599.96	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.540	2760.0	13801.0	599.96	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.640	2760.0	13801.0	600.02	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.741	2760.0	13801.0	600.02	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.841	2760.0	13801.0	600.02	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:54.941	2760.0	13801.0	600.02	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.041	2760.0	13801.0	600.02	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.141	2760.0	13801.0	600.06	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.241	2760.0	13801.0	600.06	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.342	2760.0	13801.0	600.06	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
